Bin	Range	Range Start	Range End	Bin Name	EDPL
0	"[0, 0.1)"	0	0.1	>= 0	0
1	"[0.1, 0.2)"	0.1	0.2	>= 0.1	0
2	"[0.2, 0.3)"	0.2	0.3	>= 0.2	0
3	"[0.3, 0.4)"	0.3	0.4	>= 0.3	0
4	"[0.4, 0.5)"	0.4	0.5	>= 0.4	2
5	"[0.5, 0.6)"	0.5	0.6	>= 0.5	0
6	"[0.6, 0.7)"	0.6	0.7	>= 0.6	3
7	"[0.7, 0.8)"	0.7	0.8	>= 0.7	3
8	"[0.8, 0.9)"	0.8	0.9	>= 0.8	2
9	"[0.9, 1)"	0.9	1	>= 0.9	1
10	"[1, 1.1)"	1	1.1	>= 1	7
11	"[1.1, 1.2)"	1.1	1.2	>= 1.1	13
12	"[1.2, 1.3)"	1.2	1.3	>= 1.2	0
13	"[1.3, 1.4)"	1.3	1.4	>= 1.3	1
14	"[1.4, 1.5)"	1.4	1.5	>= 1.4	0
15	"[1.5, 1.6)"	1.5	1.6	>= 1.5	0
16	"[1.6, 1.7)"	1.6	1.7	>= 1.6	0
17	"[1.7, 1.8)"	1.7	1.8	>= 1.7	0
18	"[1.8, 1.9)"	1.8	1.9	>= 1.8	0
19	"[1.9, 2)"	1.9	2	>= 1.9	0
