Bin	Range	Range Start	Range End	Bin Name	LWR Total	LWR 1	LWR 2	LWR 3	LWR 4	LWR 5
0	"[0, 0.05)"	0	0.05	>= 0	9555	6	31	44	72	76
1	"[0.05, 0.1)"	0.05	0.1	>= 0.05	293	9	45	47	42	37
2	"[0.1, 0.15)"	0.1	0.15	>= 0.1	112	19	33	27	17	12
3	"[0.15, 0.2)"	0.15	0.2	>= 0.15	82	19	22	19	11	11
4	"[0.2, 0.25)"	0.2	0.25	>= 0.2	27	11	6	10	0	0
5	"[0.25, 0.3)"	0.25	0.3	>= 0.25	58	13	22	23	0	0
6	"[0.3, 0.35)"	0.3	0.35	>= 0.3	57	12	28	17	0	0
7	"[0.35, 0.4)"	0.35	0.4	>= 0.35	17	17	0	0	0	0
8	"[0.4, 0.45)"	0.4	0.45	>= 0.4	27	27	0	0	0	0
9	"[0.45, 0.5)"	0.45	0.5	>= 0.45	11	11	0	0	0	0
10	"[0.5, 0.55)"	0.5	0.55	>= 0.5	2	2	0	0	0	0
11	"[0.55, 0.6)"	0.55	0.6	>= 0.55	6	6	0	0	0	0
12	"[0.6, 0.65)"	0.6	0.65	>= 0.6	2	2	0	0	0	0
13	"[0.65, 0.7)"	0.65	0.7	>= 0.65	3	3	0	0	0	0
14	"[0.7, 0.75)"	0.7	0.75	>= 0.7	2	2	0	0	0	0
15	"[0.75, 0.8)"	0.75	0.8	>= 0.75	9	9	0	0	0	0
16	"[0.8, 0.85)"	0.8	0.85	>= 0.8	3	3	0	0	0	0
17	"[0.85, 0.9)"	0.85	0.9	>= 0.85	5	5	0	0	0	0
18	"[0.9, 0.95)"	0.9	0.95	>= 0.9	8	8	0	0	0	0
19	"[0.95, 1)"	0.95	1	>= 0.95	23	23	0	0	0	0
