Bin	Range	Range Start	Range End	Bin Name	LWR Total	LWR 1	LWR 2	LWR 3	LWR 4	LWR 5
0	"[0, 0.05)"	0	0.05	>= 0	6896	0	3	9	25	30
1	"[0.05, 0.1)"	0.05	0.1	>= 0.05	41	1	15	18	5	1
2	"[0.1, 0.15)"	0.1	0.15	>= 0.1	10	0	7	2	1	0
3	"[0.15, 0.2)"	0.15	0.2	>= 0.15	10	3	3	3	1	0
4	"[0.2, 0.25)"	0.2	0.25	>= 0.2	4	1	3	0	0	0
5	"[0.25, 0.3)"	0.25	0.3	>= 0.25	12	11	1	0	0	0
6	"[0.3, 0.35)"	0.3	0.35	>= 0.3	0	0	0	0	0	0
7	"[0.35, 0.4)"	0.35	0.4	>= 0.35	3	3	0	0	0	0
8	"[0.4, 0.45)"	0.4	0.45	>= 0.4	3	3	0	0	0	0
9	"[0.45, 0.5)"	0.45	0.5	>= 0.45	1	1	0	0	0	0
10	"[0.5, 0.55)"	0.5	0.55	>= 0.5	1	1	0	0	0	0
11	"[0.55, 0.6)"	0.55	0.6	>= 0.55	1	1	0	0	0	0
12	"[0.6, 0.65)"	0.6	0.65	>= 0.6	3	3	0	0	0	0
13	"[0.65, 0.7)"	0.65	0.7	>= 0.65	1	1	0	0	0	0
14	"[0.7, 0.75)"	0.7	0.75	>= 0.7	0	0	0	0	0	0
15	"[0.75, 0.8)"	0.75	0.8	>= 0.75	0	0	0	0	0	0
16	"[0.8, 0.85)"	0.8	0.85	>= 0.8	3	3	0	0	0	0
17	"[0.85, 0.9)"	0.85	0.9	>= 0.85	0	0	0	0	0	0
18	"[0.9, 0.95)"	0.9	0.95	>= 0.9	0	0	0	0	0	0
19	"[0.95, 1)"	0.95	1	>= 0.95	0	0	0	0	0	0
